ANSWER;PERSONID;MATCHOR;ASPPRI;DO
O;CR;YES;PF;VB
N;CR;NO;PF;VB
N;CR;NO;IPF;V
O;CR;YES;IPF;V
O;CS;NO;PF;VB
O;CS;YES;PF;VB
O;CS;YES;PF;S
O;CS;NO;PF;S
O;CS;YES;PF;S
N;CS;NO;PF;S
O;CS;YES;PF;VB
O;CS;NO;PF;VB
O;CS;YES;PF;V
O;CS;NO;PF;V
O;CS;YES;PF;S
O;CS;NO;PF;S
O;CS;YES;IPF;VB
O;CS;NO;IPF;VB
O;CS;NO;IPF;S
N;CS;YES;IPF;S
O;CS;NO;IPF;S
O;CS;YES;IPF;S
O;CS;YES;IPF;VB
O;CS;NO;IPF;VB
O;CS;YES;PF;V
O;CS;NO;PF;V
O;CS;YES;PF;VB
O;CS;NO;PF;VB
O;CS;YES;PF;VB
O;CS;NO;PF;VB
O;CS;YES;PF;V
O;CS;NO;PF;V
O;CS;NO;PF;V
O;CS;YES;PF;V
O;CS;YES;PF;VB
O;CS;NO;PF;VB
N;CS;NO;IPF;V
O;CS;YES;IPF;V
O;CT;NO;PF;VB
O;CT;YES;PF;VB
O;CT;YES;PF;S
O;CT;NO;PF;S
O;CT;YES;PF;S
O;CT;NO;PF;S
O;CT;YES;PF;VB
O;CT;NO;PF;VB
O;CT;YES;PF;V
O;CT;NO;PF;V
O;CT;YES;PF;S
O;CT;NO;PF;S
O;CT;YES;IPF;VB
N;CT;NO;IPF;VB
N;CT;NO;IPF;S
N;CT;YES;IPF;S
N;CT;NO;IPF;S
O;CT;YES;IPF;S
N;CT;YES;IPF;VB
N;CT;NO;IPF;VB
O;CT;YES;PF;V
N;CT;NO;PF;V
O;CT;YES;PF;VB
O;CT;NO;PF;VB
O;CT;YES;PF;VB
N;CT;NO;PF;VB
O;CT;YES;PF;V
O;CT;NO;PF;V
O;CT;NO;PF;V
N;CT;YES;PF;V
O;CT;YES;PF;VB
O;CT;NO;PF;VB
N;CT;NO;IPF;V
O;CT;YES;IPF;V
O;CU;NO;PF;VB
O;CU;YES;PF;VB
O;CU;YES;PF;S
O;CU;NO;PF;S
N;CU;YES;PF;S
O;CU;NO;PF;S
O;CU;YES;PF;VB
O;CU;NO;PF;VB
O;CU;YES;PF;V
O;CU;NO;PF;V
O;CU;YES;PF;S
O;CU;NO;PF;S
O;CU;YES;IPF;VB
N;CU;NO;IPF;VB
O;CU;NO;IPF;S
N;CU;YES;IPF;S
N;CU;NO;IPF;S
O;CU;YES;IPF;S
O;CU;YES;IPF;VB
O;CU;NO;IPF;VB
O;CU;YES;PF;V
O;CU;NO;PF;V
O;CU;YES;PF;VB
O;CU;NO;PF;VB
O;CU;YES;PF;VB
O;CU;NO;PF;VB
O;CU;YES;PF;V
O;CU;NO;PF;V
O;CU;NO;PF;V
O;CU;YES;PF;V
O;CU;YES;PF;VB
O;CU;NO;PF;VB
N;CU;NO;IPF;V
O;CU;YES;IPF;V
N;CV;NO;PF;VB
O;CV;YES;PF;VB
O;CV;YES;PF;S
N;CV;NO;PF;S
O;CV;YES;PF;S
N;CV;NO;PF;S
O;CV;YES;PF;VB
O;CV;NO;PF;VB
O;CV;YES;PF;V
O;CV;NO;PF;V
N;CV;YES;PF;S
O;CV;NO;PF;S
O;CV;YES;IPF;VB
N;CV;NO;IPF;VB
N;CV;NO;IPF;S
N;CV;YES;IPF;S
N;CV;NO;IPF;S
O;CV;YES;IPF;S
O;CV;YES;IPF;VB
O;CV;NO;IPF;VB
O;CV;YES;PF;V
O;CV;NO;PF;V
O;CV;YES;PF;VB
O;CV;NO;PF;VB
O;CV;YES;PF;VB
O;CV;NO;PF;VB
O;CV;YES;PF;V
O;CV;NO;PF;V
O;CV;NO;PF;V
N;CV;YES;PF;V
O;CV;YES;PF;VB
O;CV;NO;PF;VB
N;CV;NO;IPF;V
O;CV;YES;IPF;V
O;CW;NO;PF;VB
O;CW;YES;PF;VB
O;CW;YES;PF;S
O;CW;NO;PF;S
O;CW;YES;PF;S
N;CW;NO;PF;S
O;CW;YES;PF;VB
O;CW;NO;PF;VB
O;CW;YES;PF;V
O;CW;NO;PF;V
O;CW;YES;PF;S
O;CW;NO;PF;S
O;CW;YES;IPF;VB
O;CW;NO;IPF;VB
O;CW;NO;IPF;S
O;CW;YES;IPF;S
O;CW;NO;IPF;S
O;CW;YES;IPF;S
O;CW;YES;IPF;VB
O;CW;NO;IPF;VB
O;CW;YES;PF;V
O;CW;NO;PF;V
O;CW;YES;PF;VB
O;CW;NO;PF;VB
O;CW;YES;PF;VB
O;CW;NO;PF;VB
O;CW;YES;PF;V
O;CW;NO;PF;V
O;CW;NO;PF;V
O;CW;YES;PF;V
O;CW;YES;PF;VB
O;CW;NO;PF;VB
O;CW;NO;IPF;V
O;CW;YES;IPF;V
O;CX;NO;PF;VB
O;CX;YES;PF;VB
O;CX;YES;PF;S
O;CX;NO;PF;S
O;CX;YES;PF;S
O;CX;NO;PF;S
O;CX;YES;PF;VB
O;CX;NO;PF;VB
O;CX;YES;PF;V
O;CX;NO;PF;V
O;CX;YES;PF;S
O;CX;NO;PF;S
O;CX;YES;IPF;VB
N;CX;NO;IPF;VB
N;CX;NO;IPF;S
O;CX;YES;IPF;S
N;CX;NO;IPF;S
O;CX;YES;IPF;S
O;CX;YES;IPF;VB
N;CX;NO;IPF;VB
O;CX;YES;PF;V
O;CX;NO;PF;V
O;CX;YES;PF;VB
O;CX;NO;PF;VB
O;CX;YES;PF;VB
O;CX;NO;PF;VB
O;CX;YES;PF;V
O;CX;NO;PF;V
O;CX;NO;PF;V
N;CX;YES;PF;V
O;CX;YES;PF;VB
O;CX;NO;PF;VB
N;CX;NO;IPF;V
O;CX;YES;IPF;V
O;CY;NO;PF;VB
O;CY;YES;PF;VB
O;CY;YES;PF;S
O;CY;NO;PF;S
O;CY;YES;PF;S
N;CY;NO;PF;S
O;CY;YES;PF;VB
O;CY;NO;PF;VB
O;CY;YES;PF;V
O;CY;NO;PF;V
O;CY;YES;PF;S
O;CY;NO;PF;S
O;CY;YES;IPF;VB
O;CY;NO;IPF;VB
O;CY;NO;IPF;S
O;CY;YES;IPF;S
N;CY;NO;IPF;S
O;CY;YES;IPF;S
O;CY;YES;IPF;VB
N;CY;NO;IPF;VB
O;CY;YES;PF;V
O;CY;NO;PF;V
O;CY;YES;PF;VB
O;CY;NO;PF;VB
O;CY;YES;PF;VB
O;CY;NO;PF;VB
O;CY;YES;PF;V
O;CY;NO;PF;V
O;CY;NO;PF;V
O;CY;YES;PF;V
O;CY;YES;PF;VB
O;CY;NO;PF;VB
N;CY;NO;IPF;V
O;CY;YES;IPF;V
O;CZ;NO;PF;VB
O;CZ;YES;PF;VB
O;CZ;YES;PF;S
O;CZ;NO;PF;S
N;CZ;YES;PF;S
O;CZ;NO;PF;S
O;CZ;YES;PF;VB
O;CZ;NO;PF;VB
O;CZ;YES;PF;V
O;CZ;NO;PF;V
O;CZ;YES;PF;S
O;CZ;NO;PF;S
O;CZ;YES;IPF;VB
O;CZ;NO;IPF;VB
O;CZ;NO;IPF;S
O;CZ;YES;IPF;S
O;CZ;NO;IPF;S
O;CZ;YES;IPF;S
O;CZ;YES;IPF;VB
O;CZ;NO;IPF;VB
O;CZ;YES;PF;V
O;CZ;NO;PF;V
O;CZ;YES;PF;VB
O;CZ;NO;PF;VB
O;CZ;YES;PF;VB
O;CZ;NO;PF;VB
O;CZ;YES;PF;V
O;CZ;NO;PF;V
O;CZ;NO;PF;V
O;CZ;YES;PF;V
O;CZ;YES;PF;VB
O;CZ;NO;PF;VB
N;CZ;NO;IPF;V
O;CZ;YES;IPF;V
O;D;NO;PF;VB
O;D;YES;PF;VB
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;V
O;D;NO;PF;V
O;D;YES;PF;S
O;D;NO;PF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
N;D;NO;IPF;S
O;D;YES;IPF;S
N;D;NO;IPF;S
O;D;YES;IPF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
O;D;YES;PF;V
N;D;NO;PF;V
N;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;V
O;D;NO;PF;V
O;D;NO;PF;V
O;D;YES;PF;V
O;D;YES;PF;VB
O;D;NO;PF;VB
N;D;NO;IPF;V
O;D;YES;IPF;V
O;DA;NO;PF;VB
O;DA;YES;PF;VB
O;DA;YES;PF;S
O;DA;NO;PF;S
O;DA;YES;PF;S
O;DA;NO;PF;S
N;DA;YES;PF;VB
O;DA;NO;PF;VB
O;DA;YES;PF;V
O;DA;NO;PF;V
O;DA;YES;PF;S
O;DA;NO;PF;S
O;DA;YES;IPF;VB
O;DA;NO;IPF;VB
O;DA;NO;IPF;S
O;DA;YES;IPF;S
N;DA;NO;IPF;S
O;DA;YES;IPF;S
N;DA;YES;IPF;VB
O;DA;NO;IPF;VB
O;DA;YES;PF;V
O;DA;NO;PF;V
O;DA;YES;PF;VB
O;DA;NO;PF;VB
O;DA;YES;PF;VB
O;DA;NO;PF;VB
O;DA;YES;PF;V
O;DA;NO;PF;V
O;DA;NO;PF;V
O;DA;YES;PF;V
O;DA;YES;PF;VB
N;DA;NO;PF;VB
N;DA;NO;IPF;V
O;DA;YES;IPF;V
O;DB;NO;PF;VB
O;DB;YES;PF;VB
O;DB;YES;PF;S
N;DB;NO;PF;S
O;DB;YES;PF;S
N;DB;NO;PF;S
O;DB;YES;PF;VB
O;DB;NO;PF;VB
O;DB;YES;PF;V
O;DB;NO;PF;V
O;DB;YES;PF;S
O;DB;NO;PF;S
O;DB;YES;IPF;VB
O;DB;NO;IPF;VB
O;DB;NO;IPF;S
O;DB;YES;IPF;S
N;DB;NO;IPF;S
O;DB;YES;IPF;S
O;DB;YES;IPF;VB
N;DB;NO;IPF;VB
O;DB;YES;PF;V
O;DB;NO;PF;V
O;DB;YES;PF;VB
O;DB;NO;PF;VB
O;DB;YES;PF;VB
N;DB;NO;PF;VB
O;DB;YES;PF;V
O;DB;NO;PF;V
O;DB;NO;PF;V
O;DB;YES;PF;V
O;DB;YES;PF;VB
N;DB;NO;PF;VB
N;DB;NO;IPF;V
O;DB;YES;IPF;V
O;DC;NO;PF;VB
O;DC;YES;PF;VB
O;DC;YES;PF;S
O;DC;NO;PF;S
N;DC;YES;PF;S
O;DC;NO;PF;S
O;DC;YES;PF;VB
O;DC;NO;PF;VB
O;DC;YES;PF;V
O;DC;NO;PF;V
O;DC;YES;PF;S
O;DC;NO;PF;S
O;DC;YES;IPF;VB
N;DC;NO;IPF;VB
O;DC;NO;IPF;S
N;DC;YES;IPF;S
N;DC;NO;IPF;S
O;DC;YES;IPF;S
O;DC;YES;IPF;VB
O;DC;NO;IPF;VB
O;DC;YES;PF;V
O;DC;NO;PF;V
O;DC;YES;PF;VB
O;DC;NO;PF;VB
O;DC;YES;PF;VB
O;DC;NO;PF;VB
O;DC;YES;PF;V
O;DC;NO;PF;V
O;DC;NO;PF;V
O;DC;YES;PF;V
O;DC;YES;PF;VB
O;DC;NO;PF;VB
N;DC;NO;IPF;V
O;DC;YES;IPF;V
O;DD;NO;PF;VB
O;DD;YES;PF;VB
O;DD;YES;PF;S
O;DD;NO;PF;S
O;DD;YES;PF;S
N;DD;NO;PF;S
O;DD;YES;PF;VB
O;DD;NO;PF;VB
O;DD;YES;PF;V
O;DD;NO;PF;V
O;DD;YES;PF;S
O;DD;NO;PF;S
O;DD;YES;IPF;VB
O;DD;NO;IPF;VB
N;DD;NO;IPF;S
O;DD;YES;IPF;S
O;DD;NO;IPF;S
O;DD;YES;IPF;S
O;DD;YES;IPF;VB
O;DD;NO;IPF;VB
O;DD;YES;PF;V
O;DD;NO;PF;V
O;DD;YES;PF;VB
O;DD;NO;PF;VB
O;DD;YES;PF;VB
N;DD;NO;PF;VB
O;DD;YES;PF;V
O;DD;NO;PF;V
O;DD;NO;PF;V
O;DD;YES;PF;V
O;DD;YES;PF;VB
O;DD;NO;PF;VB
N;DD;NO;IPF;V
O;DD;YES;IPF;V
