"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"Все принялись есть. Незнайке";"  пришлось ";"делать сразу два дела: есть мороженое и управлять машиной. Одной рукой он держал рулевое колесо  ←…→ ";"IPF";"PAST";"PL";"YES";"YES";"NO";"POST"
"могла дать такую мощную технику строителям Магнитки, какую имеют сейчас, скажем, строители Братской ГЭС. Многое";"  пришлось ";"делать только руками, лопатами. Неустроен был и наш быт. После работы приходилось решать много вопросов  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"—  Да, пустота! Я летаю около десяти лет, и ни разу что-то мне не";"  пришлось ";"делать в расчетах поправок на теорию относительности. Они помолчали, глядя друг на друга, словно петухи  ←…→ ";"IPF";"PAST";"PRON";"YES";"YES";"YES";"PRE"
"были похожи на мой обычный капризный «рев». Никаких усилий, никаких гримас на сей раз не";"  пришлось ";"делать, никакой комедии я не ломал, но внутри меня точно прорвалась какая-то запруда и оттуда  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"YES";"PRE"
"я матери по заматыванию крылышка в платок (предварительно ей";"  пришлось ";"сделать вид, что крылышко упало на пол) удалась, но в месте, куда мать спрятала узелок  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Чтобы не погубить Галилея, издатель старательно отговаривается, что книга выпущена без ведома автора. Инквизиции";"  пришлось ";"сделать вид, что она верит в эту наивную оговорку. С внешней стороны издание сделано с  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"и пошел к выходу, стараясь ступать медленно и расслабленно. Чтобы шагнуть в зеркальный коридор, ему";"  пришлось ";"сделать над собой серьезное усилие. Зеркала пропустили. Вспыхнула на миг оранжевая звезда, погрузив вселенную во  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"— Я фотографировал каплю воды, падающую из крана. Чтобы четко зафиксировать одну-единственную каплю, мне";"  пришлось ";"сделать несколько серий фотографий. Но изюминка фото заключалась в том, что позади крана находился яркий  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"оказались для бабушки посильными тратами, не требующими отказывать себе в кофе и коньяке. Следующий рывок";"  пришлось ";"сделать в девяносто четвертом, клиенты стали требовать более качественной верстки, и бабушке пришлось заняться «Пейджмейкером  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"PRE"
"уважил меня, добрый друг Махако, и дождался моего возвращения. Прости, что задержался, много трудных дел";"  пришлось ";"сделать. Хорошо ли кормили тебя, пока меня не было? ― Нигде я не ел так вкусно  ←…→ ";"PF";"PAST";"PL";"NO";"YES";"NO";"PRE"
"нельзя было оставаться без кулаков. А чтобы добро могло своими кулаками решить все возникающие проблемы,";"  пришлось ";"сделать зло не только слабым, но и глупым. Лучшие культурные сомелье постепенно создали оркский уклад  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"себя такой же несчастной, как Джой Адамсон и Вера Чаплина вместе взятые. В конце концов";"  пришлось ";"сделать щенку немного больно: разжать ему челюсти и запихнуть соску в рот. Щенок смешно и  ←…→ ";"PF";"PAST";"NO";"YES";"YES";"NO";"NO"
"Все присутствующие, как один человек, упали на колени. Старыгину";"  пришлось ";"сделать то же самое, чтобы раньше времени не привлечь к себе внимание Повелителя или кого-нибудь  ←…→ ";"PF";"PAST";"PRON";"YES";"NO";"NO";"POST"
"же возрасте вообще целиком свою глупую тыковку отлил из гипса (три части для формы просто";"  пришлось ";"сделать). Только она лысая получилась, потому что я пакет на голову надевал. А теперь она  ←…→ ";"PF";"PAST";"PL";"NO";"YES";"NO";"PRE"
"временного лага их кредитный портфель вырос на 30 млрд руб. , и на этом основании нам";"  пришлось ";"сделать вывод, что это стало результатом оказанной господдержки. Хотя, возможно, это не совсем корректный вывод  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"счастливому… я забыл на «Оазисе» документы и вместо того, чтобы выгрузить мусор на базе, мне";"  пришлось ";"сделать это здесь ― на астероиде. Во взгляде девушки появилось удивление: ― Как же так?   ←…→ ";"PF";"PAST";"PRON";"YES";"YES";"NO";"POST"
"КС-50 мы снимали изменения цвета кальмара. Аппарат не был предназначен для микросъемки, и нам";"  пришлось ";"сделать много приспособлений, чтобы получить микрофотографии кожи кальмара. <image> На сейнере <image> Главный оператор за  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"―  Жить хочешь? Язык прилип к горлу, и";"  пришлось ";"сделать немалое усилие, чтобы произнести единственное уместное слово: ―  Да. ―  Тогда слушай меня внимательно и не  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"― Почему же ты раньше не сказал? ― разозлился Ладо, представив себе, сколько лишней работы ему";"  пришлось ";"сделать. ― Ты не спросил. Хотя видел, что они разные, ― наставительно сказал Байрам.   ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"PRE"
"Книжный имплантант, полный искристого счастья, активно захватывал пространства памяти, одновременно обесценивая мое собственное детство. Мне";"  пришлось ";"сделать нешуточное мозговое усилие и окончательно убедить себя в том, что череда блеклых портретов, выдохшихся  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"содрала повязку и теперь пронзительно «кляла нас за плохую работу. Словами успокоить ее было невозможно,";"  пришлось ";"сделать укол супрастина. Она слегка «обалдела», как доходчиво объяснил всем фельдшер Евдокимов, и шуметь перестала  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"а именно там у Ивана должны были состояться переговоры с представителями какой-то серьезной компьютерной компании,";"  пришлось ";"сделать пересадку в московском аэропорту. Лететь американскими авиалиниями оказалось гораздо комфортнее, чем отечественными, на которых  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"который молча наблюдал за моими манипуляциями (очевидно, я не первый обнаружил в Кремле зимние лимоны).";"  Пришлось ";"сделать вид, что я садовод-любитель и подошел только для того, чтобы взвесить на руке  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"не знал, но понял это, когда через два месяца вновь увидел наш фильм, в котором";"  пришлось ";"сделать купюры.   ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"им помог в реализации Третьей идеи. Поэтому, можно сказать, что для создания супербомбы американским физикам";"  пришлось ";"сделать один большой прыжок изобретательства, а российским ― два меньших, с промежуточной «опорой» в Слойке. В  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Там, где было возможно. На первом этаже, чтобы обыграть балки,";"  пришлось ";"сделать сложные многоуровневые потолки, благо высота в три сорок легко позволяла подобные вольности. Там, где  ←…→ ";"PF";"PAST";"PL";"NO";"YES";"NO";"POST"
"― Да что случилось-то? В это время к ним подошел официант, и";"  пришлось ";"сделать заказ. Только после этого Катя принялась рассказывать: ― Я случайно подслушала один разговор…   ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"И поставленная передо мной задача стала совершенно иначе выглядеть. В итоге";"  пришлось ";"сделать еще один проект, не идущий ни в какое сравнение с предыдущим ни по технико-экономическим  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"Ребенку 5 мес, полностью на ГВ. И вот она первый раз не покакала 5 дней,";"  пришлось ";"сделать клизму (раздражали прямую кишку ― бесполезно), потом опять через 5 дней пришлось сделать то же  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"заикнулся насчет нее в присутствии ПП. Он ничего не ответил, но так нахмурился, что мне";"  пришлось ";"сделать вид будто бы я оговорился. «Нельзя так нельзя», ― сказал я себе. Тем более, что  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Человеком этим был Уинстон Черчилль. После этих слов ему";"  пришлось ";"сделать паузу, потому что в палате поднялась буря негодования. Освальд Мосли назвал мюнхенское соглашение «актом  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Похоже, что «головокружение от успехов» поразило не только олигархов, но и власть. И В. Путину";"  пришлось ";"сделать успокаивающее заявление о «недопустимости чрезмерных мер» и о «необходимости защищать Конституцию». Но окончательное решение  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"середине 70-х, здоровье мое оставляло желать лучшего, и вскоре после выхода «Метрополя» мне-таки";"  пришлось ";"сделать операцию на сердце. А может, наоборот, меня устранили из-за того, что я был членом  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Милиционеры увидели одного похитителя и побежали за ним. На крики беглец не реагировал, и Сидяхину";"  пришлось ";"сделать четыре предупредительных выстрела в воздух, прежде чем он одумался и упал на землю. Прибывшие  ←…→ ";"PF";"PAST";"PL";"YES";"YES";"NO";"POST"
"финансированием» должности. При назначении органы юстиции проверяют способность будущего обладателя должности вернуть заем, который ему";"  пришлось ";"сделать, чтобы оплатить «финансирование» должности, исходя из объема ее документооборота и расчетной прибыли. В качестве  ←…→ ";"PF";"PAST";"PRON";"YES";"NO";"NO";"PRE"
"Журнал мне очень нравится, прочитываю от корки до корки. Решил выслать фотографии оформления своего загородного участка (в основном для летнего отдыха) в старинном русском городе Плесе, что на Волге, в Ивановской области. Участок у меня с уклоном 40°, что дает огромные возможности в оформлении ландшафта. Одних только лестниц высотой более 1 м";"  пришлось ";"сделать 7 штук. Мною была выполнена общая планировка, озеленение, несколько дорожек и лестниц, освещение. Основные  ←…→ ";"PF";"PAST";"PL";"NO";"YES";"NO";"POST"
"Родители прибегали ко всему, чтобы этот дефект не был заметен.";"  Пришлось ";"сделать несколько пластических операций, и к двадцати годам Тери выглядела как любая другая девушка в  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"краю плоского как стол плато, с трех сторон круто обрывающегося к реке. Из-за реки нам";"  пришлось ";"сделать крюк минут еще на десять, но ― странное дело (и чем ближе мы подходили, тем  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"понял: сквозь красное платье просвечивали черные трусики. И хотя при этом я чувствовал себя неловко,";"  пришлось ";"сделать замечание. Наша группа регулярно ездила с концертами в город Горький. Это мой родной город  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"очередном авиасалоне в Ле Бурже Ту-144 разрушился на глазах сотен тысяч зрителей, когда ему";"  пришлось ";"сделать крутой вираж, чтобы уйти от появившегося внезапно французского истребителя «Мираж». Экипаж погиб, несколько зрителей  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"сказали пойманные беглецы оперативникам, ― да только под землей было много препятствий ― то камни, то болото.";"  Пришлось ";"сделать много веток, прежде чем выйти… В результате земляных работ им удалось вынести во двор  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"решений по повышению тарифов», ― пояснил Андрей Шаронов. По словам замминистра, в этом году специалистам МЭРТ «";" пришлось ";"сделать микроэкономический анализ, хотя в принципе мы должны давать макроэкономический». Заявления г-на Шаронова в принципе  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"телеканалов в выпуске новостей сообщить о некоей опасности, грозящей присутствующим на матче Россия ― Швеция. Организаторам";"  пришлось ";"сделать в пресс-центре официальное заявление о том, что ни заложенных бомб, ни каких-либо других поводов  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"турниров она расправилась со своей старшей сестрой Винус. То же самое младшей Уильямс, первой сеяной,";"  пришлось ";"сделать и в минувшую субботу в Нью-Йорке. Каждый новый чемпионат «Большого шлема» подтверждает то, что  ←…→ ";"PF";"PAST";"PRON";"YES";"YES";"NO";"POST"
"звездность» приглашенных артистов. Журналу «Дело» 31 мая исполнится 10 лет, поэтому редакции пару месяцев назад";"  пришлось ";"сделать весьма непростой выбор между привычной юбилейной предсказуемостью и творческой неизвестностью. Мы выбрали второе. А  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"ударяется о ракетку мяч и восторженно вопит Катерина Солнцева, специалист по связям с общественностью. Тимофею";"  пришлось ";"сделать над собой усилие, чтобы не заглянуть в окно, но войти тянуло неудержимо. Поддаваясь себе  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Он, выезжая со второстепенной дороги, не пропустил джип. От неожиданности и безысходности Х. и";"  пришлось ";"сделать роковой маневр. Что касается превышения скорости на 4, 5 км/ ч, то оно было  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Хотя есть идеи. Очень много";"  пришлось ";"сделать за два месяца. Формально я начал работать с 1 июня, и уже 3 июля  ←…→ ";"PF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"лучшие горнолыжные ботинки, причем купленные прямо на месте. Для того чтобы ботинки подошли по размеру,";"  пришлось ";"сделать отпечаток ноги клиента. Зато ботинки ждали его прямо в номере. Другой путешественнице обеспечили отель  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Кажется, ей пришлось много работать и огорчаться по разным семейным поводам, она болела, и ей";"  пришлось ";"сделать операцию. И вот, по прошествии нескольких лет, Гриша узнал, что Ирина с Настенькой хотели  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"не смог включить, однако для первого вояжа результат был сносным: те несколько крюков, которые нам";"  пришлось ";"сделать, с лихвой окупились скоростью. Инспекторы на мои выкрутасы не обращали внимания, видно, машина Куцапова  ←…→ ";"PF";"PAST";"PRON";"YES";"NO";"NO";"POST"
"наше время стойкость нужнее правоты. Для меня было бы личной большой бедой, если бы Вам";"  пришлось ";"сделать что-то по принуждению, хотя это и не изменило бы моего отношения к Вам. Но  ←…→ ";"PF";"PAST";"PRON";"YES";"YES";"NO";"POST"
"У вас неприятности. Мне";"  пришлось ";"сделать над собой усилие, чтобы сохранить хотя бы внешнюю невозмутимость. Неприятности, ― со вздохом повторил прево  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"о своим врожденным кодексом чести, ― не диво. Но при этом ему";"  пришлось ";"сделать одно открытие: этот самый его кодекс оказался отнюдь не обязателен для других;  и это  ←…→ ";"PF";"PAST";"SG";"YES";"CLAUSE";"NO";"POST"
"такое с ней частенько случалось и раньше, а тут еще как назло в середине сета";"  пришлось ";"сделать перерыв из-за дождя). Зато в первом и третьем сетах американке, в прошлом году расправившейся  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Шмидт приходит к выводу о необходимости увеличить количество часов для занятий. Это";"  пришлось ";"сделать за счет сна: в молодые годы «потеря» примерно одной трети жизни в виде сна  ←…→ ";"PF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"2. Мотив не названный, но существенный: Константин благоволит Милорадовичу, Николай ― нет. Поэтому";"  пришлось ";"сделать шаг назад. Принести присягу императору российскому Константину Павловичу, отправить с фельдъегерем запрос в Варшаву  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"― Товарищи, я вас вызвал по очень важному вопросу! ― Ему";"  пришлось ";"сделать паузу ― прозвучал вызов по селектору. ― Товарищ полковник, вы могли бы выйти на минутку? ― спросил  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Словно его заставили катиться всю дорогу кувырком. Им еще";"  пришлось ";"сделать крюк, чтобы по автомобильному мосту перебраться на другую сторону реки в поселок Авангард, где  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"стати наши боевики должны помогать красным, разрушившим Российскую империю? ― Я целиком на твоей стороне, но";"  пришлось ";"сделать вид, что для этой троицы я свой, чтобы выяснить истинное направление их деятельности и  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Иначе не будут уважать! Какие-то перестановки";"  пришлось ";"сделать ― с начальством надо считаться! Спорить по мелочам не хотелось, хоть и раздражало. Все мы  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"PRE"
"Я взрослый мужчина, видавший всякое… К сожалению, в жизни мне";"  пришлось ";"сделать гораздо больше плохого, чем хорошего, но плакаться в жилетку не собираюсь. Вместо этого хочу  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"помощь спешила когда и куда угодно. Подруги жили в одном дворе, через дом, и Кузнецовой";"  пришлось ";"сделать крюк, чтобы сбегать к киоскам возле метро «Южная». Она купила там сладкий рулет и  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Заболел Г. А. Столяров ― у него начались серьезные неприятности с ногами.";"  Пришлось ";"сделать операцию. Ходить ему было трудно, но он не оставлял работы. Появлялся в театре, вставал  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"не глядя, оседая до земли, он вдвое быстрей обычного натаскал воды для огорода, и то";"  пришлось ";"сделать двадцать носок. Он осунулся и взмок, и поугрюмел, и поглядывал куда-то вбок и в  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"информации, Гибсон подчеркивает, что ему «пришлось отказаться от традиционных теорий восприятия». То же самое ему";"  пришлось ";"сделать и с теориями информации, которые, по его мнению, совершенно не отражают существа вопроса. И  ←…→ ";"PF";"PAST";"PRON";"YES";"NO";"NO";"PRE"
"по полтора часа с глазу на глаз. Я знаю, что несколько раз в жизни мне";"  пришлось ";"сделать ему больно. Но я никогда не слышал от него слов критики, он был благородным  ←…→ ";"PF";"PAST";"NO";"YES";"YES";"NO";"NO"
"теми или иными элементами рабочей ситуации), на деле оказались решающими. В новой «парадигме» социологии труда";"  пришлось ";"сделать их исходными, т. е. признать, что к характеристикам труда на данном рабочем месте мы  ←…→ ";"PF";"PAST";"PL";"NO";"YES";"NO";"POST"
"не катит твоя мантра, ― прошептал Татарский и пошел на кухню. Выпив еще водки (для этого";"  пришлось ";"сделать усилие), он вернулся в комнату и включил телевизор. Раздалась торжественная музыка, синее пятно на  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"Я гомосексуалист. Прежде чем написать это слово, мне";"  пришлось ";"сделать над собой большое усилие. В моем сознании гомосексуалист, педик, педераст ― это что-то ужасное, отвратительное  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Веди нас прямо так, в портках… Так и";"  пришлось ";"сделать. Благо хоть тепло. Куча обмундирования накопилась около камеры ― как разобраться потом?   ←…→ ";"PF";"PAST";"NO";"NO";"NO";"NO";"NO"
"сделать не очень сложно, а вот повторить его тысячу раз, причем в точности одинаковым, ― проблема.";"  Пришлось ";"сделать специальное чистое помещение, а главное ― организовать поточное и автоматизированное производство и контроль. Другая группа  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"мысли не возникает расстаться. Кроме того, задача слишком фундаментальна, а на пути к ее решению";"  пришлось ";"сделать столько интересного, что никто из нас никогда не жалел о пройденном пути». Действительно, проект  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"опрокинутыми вниз головой (мы хотели сказать ― верхушкой цветоносного побега). Цветкам, висящим в таком своеобразном положении";"  пришлось ";"«сделать» посадочную площадку для насекомых из верхних по положению (ближних к верхушке побега), но физически  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Валерия… Мне";"  пришлось ";"сделать небольшую пластическую операцию. Поставить на место нос и слегка изменить его форму. Крупных изъянов  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Этот загон стали наполнять воинами снова и снова, всякий раз до отказа. Так";"  пришлось ";"сделать сто семьдесят раз: у Ксеркса оказалось миллион семьсот тысяч человек одной пехоты. А вместе  ←…→ ";"PF";"PAST";"NO";"NO";"YES";"NO";"NO"
"материала, чтобы оно перешло в принципиальное убеждение. Много лет спустя, обдумывая советскую информационную политику, мне";"  пришлось ";"сделать усилие над собой, чтобы признать некоторую долю правдивости в ней, да и то лишь  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Берия засмеялся и принялся настаивать, чтобы я проглотил.";"  Пришлось ";"сделать вид, что послушался. Затем незаметно выбросил под стол. ― Это очень полезно.   ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"― Никак нельзя. Не гармонирую я с этим чудным городом, и теперь все, что";"  пришлось ";"сделать жестокого, во благо, увезу с собой, чтобы ничего не напоминало здесь о прошлом и  ←…→ ";"PF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"тогда не придется опасаться за свое здоровье ― примерно так выглядели рекомендации астрологов для Львов. Работа:";"  Пришлось ";"сделать выбор между успехом дома и дальней поездкой: большинство Львов безоглядно ринулись в чужие края  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"На море был сильный шторм, а судовому врачу У., не имевшему под рукой специальных инструментов,";"  пришлось ";"сделать необычную операцию ― вытащить из дыхательного горла старпома И. боржомную металлическую крышку, попавшую туда при  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"выступлении на Конгрессе интеллигенции, который проходил в Москве в самом конце ноября, президенту уже самому";"  пришлось ";"сделать разъяснение. «Да, должен признать ― пошел на ряд компромиссов, но они носят не стратегический, а  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"продев в сапожные ушки короткие палочки: это оказалось, пожалуй, самым трудным из того, что ему";"  пришлось ";"сделать одной рукой… Из сапог повалил молочный дым ― как из печной трубы; он испугался и  ←…→ ";"PF";"PAST";"PRON";"YES";"YES";"NO";"PRE"
"Ну?";"  Пришлось ";"сделать вид, что живот скрутило или ― ну, мало ли, по женской части, в общем, выбежала  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"по кличке Марран. Ноги на желали подчиняться, потому что за два предыдущих года им не";"  пришлось ";"сделать и шага. Руки, неестественно выгибаясь, судорожно хватали воздух, ловя несуществующие воротники плащей и курток  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"YES";"POST"
"а так как деревьев было много, то она почти не приближалась к Сандрику, и ему";"  пришлось ";"сделать ей навстречу несколько шагов. ― Здравствуй, ― сказал он и рукой прикрыл рот. ― Ты откуда?   ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"площадке или на том же подоконничке, вижу, бутылка стоит из-под сухого вина ― пили? Но тоже";"  пришлось ";"сделать вид, что ничего особенного не происходит. Пропустит молодежь по глоточку сухого вина, что же  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Октябрьской Социалистической революции мы праздновали в защищенном от немецких захватчиков Советском Туапсе. Немало докладов мне";"  пришлось ";"сделать, но никогда я не испытывал такого волнения, какое испытал при выступлении с докладом на  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"PRE"
"Эти новеллы и запоминаются как «содержание» фильма. В детстве каждому из нас";"  пришлось ";"сделать усилие, чтобы понять, как это так: ты бегаешь по двору, а земля вертится ― разность  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Или ты, или я!»";"  Пришлось ";"сделать выбор в его пользу. ― Две карьеры в одной семье ― слишком много? ― Он не хотел  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"государства, было примерно напечатано 13 ― 14 тысяч страниц. Фотографии нам тоже дорого обошлись, потому что";"  пришлось ";"сделать шесть комплектов фото, затем расход на переводы. Я примерно подсчитал стоимость авторского листа: по  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"гг. Мама могла тогда накормить, одеть и спасти только одного ребенка, не двоих, и ей";"  пришлось ";"сделать этот ужасный выбор». Доказательством своей правоты А. Саакянц приводит факт из моих «Воспоминаний»: за  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"доносившиеся из домика смотрителя, а еще однажды с опушки леса увидел пароконную упряжку. После полудня";"  пришлось ";"сделать еще крюк и пересечь железнодорожную линию, чтобы обойти мелькнувшую в конце просеки деревню. С  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"Солдаты и рабы, прислуживавшие в храме, тотчас же распростерлись перед ним в прахе. Мне тоже";"  пришлось ";"сделать вид, будто верю его божественному происхождению, и поклониться ему, хотя уже тогда я догадывался  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Ее и разбирали.";"  Пришлось ";"сделать внушение врачу из поликлиники: квалифицированна, но языката. Она, конечно, не признала вины. Жалобщице ответили  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"«Мужчинам нельзя». Юноше";"  пришлось ";"сделать вид, что он уходит, и еще час пробродить среди холодных деревьев и скал, прислушиваясь  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"нам на участок вновь зачастили беспокойные ходоки, предлагавшие сюжеты в одной упаковке с деньгами. Меркурию";"  пришлось ";"сделать строгое внушение председателю жаждущих. Это дало свои результаты. Вдоль нашего забора стали прохаживаться люди  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"«Жена жаловалась на даче, что самовар долго не закипает.";"  Пришлось ";"сделать ей самовар с кипятильными трубами. Вот он-то и стал предком вертикального котла». Академик  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Да и коммунизм для них ― только удачный метод, который никак нельзя покидать.";"  Пришлось ";"сделать вывод, что социальная революция (была произведена не для народа. В лучшем случае (Ленин и  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Совершенно официально.";"  Пришлось ";"сделать официальное лицо и говорить официальным тоном, что, впрочем, удалось мне без всякого труда, потому  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Да, мизинцем можно было гордиться. Перед тем как приступить к безымянному пальцу, мне";"  пришлось ";"сделать небольшую паузу ― служба в армии, потом еще, кажется, институт. Но это было, пожалуй, даже  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Пошел мужской разговор. И прасло, мне";"  пришлось ";"сделать вид, что я сплю. Ведь если кто-нибудь догадается, что я не пацан, со стыда  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Он доверчиво глядел на меня, стонал и плакал от боли.";"  Пришлось ";"сделать ему обезболивающие уколы. Рана оказалась неглубокой. Обработав, я зашил ее и наложил резиновый пластырь  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"Постановка талантливая, но недоделанная (в один месяц";"  пришлось ";"сделать)». Маяковский не выносил бесцеремонного отношения к своим стихам, не прощал его. 28 ноября 1929  ←…→ ";"PF";"PAST";"NO";"NO";"YES";"NO";"NO"
"своей Кирилл внушал и внушал разные мысли против войны и убийства, а вот как самому";"  пришлось ";"сделать?! Вот какая страшенная жизнь получалась у него нынче в своем собственном доме. Вот он  ←…→ ";"PF";"PAST";"NO";"YES";"NO";"NO";"NO"
"Приходится постоянно работать веслами до очередного миролюбивого… непрохода. До правого притока, реки Туту-Оюк,";"  пришлось ";"сделать четыре обноса, а за ним вообще упаковать плот, так как следующий непроходимый участок тянется  ←…→ ";"PF";"PAST";"PL";"NO";"NO";"NO";"POST"
"Вот она, удача!";"  Пришлось ";"сделать особый пинцет с широкими вогнутыми лопаточками. Ими я сжимал расплавленную перламутровую массу, потом растягивал  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
