"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"мне пришлось для него делать, чтобы он одолжил мне деньги?!! Нет, ты представляешь, что мне";"  пришлось ";"делать?!! Тут хор, конечно, начинает громко выпевать: кто это?! кто это?!   ←…→ ";"IPF";"PAST";"PRON";"YES";"NO";"NO";"PRE"
"нее было очень много щенков и к тому же все очень крупные. И поэтому ей";"  пришлось ";"делать кесарево. Ну а потом как нам сказали что у нее порвалась матка. Нужно срочно  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Хлебом их не корми, дай порассуждать о том, что мы ни при чем, эти там наверху сказали,";"  пришлось ";"делать; однако вывинтишь копеечные гайки тормозной системы и рублевые свечи зажигания ― и машина либо не  ←…→ ";"IPF";"PAST";"NO";"NO";"NO";"NO";"NO"
"самом освещенном месте у светлой стенки и ― процесс пошел. Поскольку фотобумага имела низкую чувствительность, экспозицию";"  пришлось ";"делать существенно дольше, чем при фотографировании на стандартные пластинки. Иван сидел, не двигаясь, около минуты  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
"― Я сейчас. Ему тоже никогда не приходилось делать такое, хотя за эти дни";"  пришлось ";"делать в операционной то, о чем он прежде и помыслить не мог. Конечно, сделать это  ←…→ ";"IPF";"PAST";"PRON";"NO";"CLAUSE";"NO";"POST"
"― У вас было очень чисто, ― покачала она головой. ― Мне совсем ничего не";"  пришлось ";"делать. И теперь, новогодним утром, Оля тоже ждала его дома. Юра вошел в комнату, увидел  ←…→ ";"IPF";"PAST";"PRON";"NO";"NO";"YES";"PRE"
"вспоминал все, что там происходило ― день за днем, чередуя описание событий с описанием операций, которые";"  пришлось ";"делать в ткварчельской больнице. И об Армении делал записи, но тут уже только об операциях  ←…→ ";"IPF";"PAST";"PRON";"NO";"NO";"NO";"PRE"
"на простор, что Саломея потеряла равновесие и ударилась головой о строй почтовых ящиков в вестибюле.";"  Пришлось ";"делать рентген, гематома, расплывшаяся на пол-лица, долго не рассасывалась. Роза была обучена некоторым простейшим  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Вспомнилась несчастная Нина Литовцева. Она ведь тоже простудилась, насморк перешел в воспаление среднего уха,";"  пришлось ";"делать прокол нарыва, а сделали так, что началось заражение крови! Это рассказывал Поль, а он  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Мы здесь все штукатуры с опытом, но и для нас эти работы оказались сложны в том плане, что многое";"  пришлось ";"делать впервые. Так, например, куполов мы никогда не штукатурили, поэтому постигаем новое по ходу дела  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"Вот конкретный пример… На ходу";"  пришлось ";"делать балку для подвесного оборудования. По проекту были заложены стойки, а когда начали монтаж оборудования  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"же детки самое дорогое и ценное в нашей жизни! Дай Бог, чтоб никогда нам не";"  пришлось ";"делать такой трудный выбор. КалиНочка, 2004.12. 19 13: 48. 2, 1, 3, 4, 6, 5  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"YES";"POST"
"когда поехали после Загса кататься, у нас у одной машины из свадебного кортежа взорвалось колесо.";"  Пришлось ";"делать остановку. Но колесо быстро поменяли! А когда мы выходили из Загса, брат жениха решил  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"позволял устанавливать его на маневренные летательные аппараты, поэтому конструкцию спасаемого накопителя по ОКР «КАРП-Р»";"  пришлось ";"делать практически заново, многократно согласовывая с ОАО «ОКБ Сухого» вопросы размещения и отделения СБН. На  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
"как рассеянный склероз. Чтобы разубедить ее в этом, одних увещеваний доктора было недостаточно и пациентке";"  пришлось ";"делать магниторезонансную томографию мозга. Только после этого она перестала думать о рассеянном склерозе. Причина болезни  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"кто убил его любимую Анечку. Лиза так и не получила от страховой компании деньги, ей";"  пришлось ";"делать ремонт в старой квартире, я больше с девушкой не встречалась. Эля по-прежнему дурит народ  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"не смогли искалечить душу. Игорь Владимирович был уверен, что сможет поставить спектакль «по слуху», но";"  пришлось ";"делать операцию на ухе. Мне кажется, был задет нерв. Игорь Владимирович стал быстро слабеть.   ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"двери внутри дома сверкают модными никелированными ручками, сантехника ― мечта московского новосела. Единственное, что семье Матевосян";"  пришлось ";"делать самим, ― перевозить вещи из временного домика. Несмотря на имя, русской крови в Епраксии нет  ←…→ ";"IPF";"PAST";"PRON";"YES";"CLAUSE";"NO";"PRE"
" Ломоносов и Сумароков ― историко-литературные герои первой величины, но, когда мне нужно было писать об их одах, все подсчеты тем, мотивов и их композиционных сочетаний мне";"  пришлось ";"делать впервые. Уважать факты и собирать факты у нас умеют, нашим архивистам и библиографам можно  ←…→ ";"IPF";"PAST";"PL";"YES";"YES";"NO";"PRE"
"Аптахар засопел и снова обратился к венну лицом. На сей раз ему";"  пришлось ";"делать вид, будто он в упор не видит добродушных усмешек друзей. ― Кто сочинил эту книгу  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Мы выбрали пятьдесят три объекта, да каких! Правда,";"  пришлось ";"делать и достройки, что тоже требовало финансовых вложений.   ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"POST"
"разрывом». И дело не только в том, что в Эвиане именно Шираку, а не Бушу,";"  пришлось ";"делать первый шаг к примирению. Куда более важным итогом саммита является другое: по сути дела  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Впрочем, если его судьба была предрешена еще с пеленок благодаря отцу, то самому Владимиру Филимонову";"  пришлось ";"делать свою самому. «Вовка, ноги волка кормят!» Родители Владимира Филимонова родом из Оршанского района, к  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"От удара головой о стену у него треснули кости черепа. И ему";"  пришлось ";"делать сложнейшую операцию. Ну а вызванная вслед за врачами милиция тут же начала поиски трупа  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
" Нам повезло, что многие руководители служб, инженеры и рабочие были высоко-профессиональными специалистами, т. к. наладку оборудования";"  пришлось ";"делать самим. В течение пяти лет велась модернизация шахты. Все ресурсы были сконцентрированы на основных  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"PRE"
"просто не влезали. Но для того чтобы комфортно разместить переднее правое кресло, в центральном тоннеле";"  пришлось ";"делать нишу глубиной 40 мм. Хорошо хоть запас места был, ведь узлы трансмиссии скомпонованы не  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"И все бы закончилось благополучно, если бы у Салмана Багаева не случилось отторжения электрокардиостимулятора и операцию";"  пришлось ";"делать повторно. В остальном ― все хорошо. Прописка живет и побеждает: человека, которому с точки зрения  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
